"Date","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Orders","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredBrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","AmazonFees","EstimatedPayout","Cost of Goods","GrossProfit","Expenses","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage"
"07/03/2026","3092.44","1188.92","1188.92","0.00","137","54","54","0","175","10","0.00","-790.24","-1.31","0.00","-35.37","0.00","0.00","0.00","0.00","-186.54","32.30","-2450.46","785.14","-936.57","-119.13","0.00","-119.13","-2.78","19.31","3214","5.94"
"08/03/2026","2825.73","1564.00","1564.00","0.00","130","70","70","0","194","7","0.00","-798.86","-0.16","0.00","-30.34","0.00","0.00","0.00","0.00","-106.96","25.30","-1602.90","1825.21","-907.27","943.24","0.00","943.24","21.49","18.89","3222","6.24"
"09/03/2026","2392.18","1608.17","1608.17","0.00","99","71","71","0","166","5","0.00","-704.23","-0.86","0.00","-27.52","0.00","0.00","0.00","0.00","-85.05","31.80","-1423.27","1727.62","-836.61","922.81","0.00","922.81","23.07","18.31","2446","6.95"
"10/03/2026","2603.81","1195.21","1195.21","0.00","113","54","54","0","160","5","0.00","-689.07","0.00","0.00","-25.35","0.00","0.00","0.00","0.00","-82.60","14.20","-1362.95","1624.85","-772.30","866.75","0.00","866.75","22.82","18.81","2417","6.99"
"11/03/2026","2766.35","1329.58","1329.58","0.00","118","56","56","0","167","7","0.00","-731.73","0.00","0.00","-27.48","0.00","0.00","0.00","0.00","-126.60","12.30","-1508.45","1689.37","-882.74","818.93","0.00","818.93","19.99","18.54","2616","6.65"
"12/03/2026","3448.60","1732.56","1732.56","0.00","145","72","72","0","209","5","0.00","-705.09","-4.10","0.00","-29.59","0.00","0.00","0.00","0.00","-49.50","38.40","-1942.22","2412.26","-1127.07","1323.59","0.00","1323.59","25.55","14.26","2196","9.93"
"13/03/2026","3322.19","1022.72","1022.72","0.00","142","44","44","0","179","5","0.00","-649.04","-1.00","0.00","-26.79","0.00","0.00","0.00","0.00","-68.68","32.18","-1521.44","2045.78","-858.25","1219.71","0.00","1219.71","28.07","15.58","0","0.00"
