State,Portfolio,Status,Budget type,Budget(USD),Budget start,Budget end,Campaign count,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
,None 25,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None28,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None25,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None44,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None26,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None11,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None7,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None13,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None18,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None21,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Emma & Kate Family,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None32,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None2,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None8,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None43,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None17,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None29,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None5,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None6,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None14,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,minibeads pastel,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None39,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None33,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Latch Needlepoint Minibags,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None16,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None31,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None10,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Bunny Knitting loom kit,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None34,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None37,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None20,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None24,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None30,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,nnone,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None23,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None36,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None35,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None12,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
